 Nombre EPS ,Nombre IPS,Valor Autorizado por EPS ($),Valor Girado IPS ($),observación,Fecha proceso Giro Directo,Fecha Giro,PROCESO
SANITAS E.P.S.,INSTITUTO PARA NINOS CIEGOS Y SORDOS DEL VALLE DEL CAUCA," 254,710,381 "," 254,710,381 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SOCIEDAD MEDICA CLINICA MAICAO SA," 251,904,786 "," 251,904,786 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CAJA DE COMPENSACION FAMILIAR DEL VALLE DEL CAUCA COMFAMILIAR ANDI COMFANDI," 243,075,654 "," 243,075,654 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA BLAS DE LEZO SAS," 241,967,799 "," 241,967,799 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA DEL OCCIDENTE SA," 238,012,779 "," 238,012,779 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL REGIONAL MONIQUIRA," 233,368,456 "," 233,368,456 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA LA ERMITA DE CARTAGENA SAS," 231,225,610 "," 231,225,610 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL SAN VICENTE DE ARAUCA," 223,503,944 "," 223,503,944 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,INSTITUTO NEUMOLOGICO DEL ORIENTE S A," 222,139,341 "," 222,139,341 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL SUSANA LOPEZ DE VALENCIA," 221,354,212 "," 221,354,212 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL SAN RAFAEL DE LETICIA ESE," 219,538,947 "," 219,538,947 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE CARMEN EMILIA OSPINA," 215,238,107 "," 215,238,107 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,GRUPO ONCOLOGICO INTERNACIONAL SA," 210,262,077 "," 210,262,077 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL UNIVERSITARIO DEL CARIBE," 209,303,473 "," 209,303,473 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL UNIVERSITARIO SAN JOSE DE POPAYAN E S E," 204,509,566 "," 204,509,566 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL UNIVERSITARIO DEL VALLE EVARISTO GARCIA ESE," 201,870,060 "," 201,870,060 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SALUD ACTIVA MEDICINA ANTIHOMOTOXICA SAS," 200,465,515 "," 200,465,515 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CENTRO CARDIOVASCULAR SOMER INCARE SA," 199,711,553 "," 199,711,553 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL INFANTIL LOS ANGELES," 195,992,064 "," 195,992,064 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SERVICIO MEDICO LIMITADA," 193,660,818 "," 193,660,818 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,INVERSIONES MEDICAS DE LOS ANDES SAS," 193,632,266 "," 193,632,266 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL REGIONAL DE GARCIA ROVIRA," 192,645,282 "," 192,645,282 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE ESE," 192,105,117 "," 192,105,117 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA LA SAGRADA FAMILIA SAS," 189,242,268 "," 189,242,268 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ANGIOGRAFIA DE COLOMBIA S EN C," 189,162,778 "," 189,162,778 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HORIZONTES ABA TERAPIA INTEGRAL LIMITADA," 188,870,864 "," 188,870,864 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HEALTH Y LIFE IPS SAS," 187,895,851 "," 187,895,851 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ASORSALUD SM LIMITADA," 186,425,285 "," 186,425,285 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA LA ESTANCIA SA," 185,542,265 "," 185,542,265 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL REGIONAL DE SOGAMOSO ESE," 185,253,623 "," 185,253,623 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA DE URGENCIAS BUCARAMANGA SAS," 185,222,702 "," 185,222,702 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,GASTROQUIRURGICA SAS," 184,997,682 "," 184,997,682 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,IPS SALUD MENTAL MONTE SINAI SAS," 181,514,607 "," 181,514,607 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,INSTITUTO DEL SISTEMA NERVIOSO DE RISARALDA LTDA," 172,695,058 "," 172,695,058 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CENTRO DE ALTA TECNOLOGIA DIAGNOSTICA DEL EJE CAFETERO S A," 172,460,364 "," 172,460,364 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,FUNDACION SOCIAL PARA PROMOCION DE VIDA," 172,170,648 "," 172,170,648 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL SAN RAFAEL DE FACATATIVA," 172,132,117 "," 172,132,117 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,M V C INVERSIONES SAS," 166,724,198 "," 166,724,198 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,DIAXME SAS," 166,224,218 "," 166,224,218 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA LA MERCED BARRANQUILLA SAS," 164,425,635 "," 164,425,635 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOGARSALUD IPS SOCIEDAD POR ACCIONES SIMPLIFICADAS," 161,529,030 "," 161,529,030 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,UNIDAD MEDICA BETA SALUD LTDA," 161,384,666 "," 161,384,666 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA DE LA MUJER SA," 159,645,055 "," 159,645,055 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL DEPARTAMENTAL SAN ANTONIO DE PADUA," 159,124,876 "," 159,124,876 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,RADIO IMAGENES RADIOLOGOS ASOCIADOS SAS," 158,853,390 "," 158,853,390 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CARDIODIAGNOSTICO DEL CHOCO SAS," 158,227,397 "," 158,227,397 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,AMBULANCIAS AEREAS DE COLOMBIA SAS," 157,440,000 "," 157,440,000 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL FEDERICO LLERAS ACOSTA DE IBAGUE ESE," 156,980,728 "," 156,980,728 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,UNIDAD MEDICO QUIRURGICA Y ODONTOLOGICA SANTA CAROLINA SAS," 156,354,972 "," 156,354,972 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,GYO MEDICAL IPS SAS," 155,376,522 "," 155,376,522 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,DIAGNOSTIMED SA," 154,356,261 "," 154,356,261 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,IPS PUNTO VITAL SAS," 154,246,932 "," 154,246,932 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,NEFROUROS MOM SAS," 150,078,701 "," 150,078,701 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,FUNDACION CLINICA HOSPITAL JUAN N CORPAS Y CENTROS ASISTENCIALES AFINE," 147,682,942 "," 147,682,942 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL FRANCISCO DE PAULA SANTANDER ESE," 146,894,526 "," 146,894,526 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,RADIOTERAPIA DEL NORTE LTDA," 145,503,414 "," 145,503,414 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CARIBBEAN ORTHODONTICS AND DENTAL SPECIALITIES LIMITADA," 144,410,756 "," 144,410,756 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CAJA DE COMPENSACION FAMILIAR DE RISARALDA," 144,385,282 "," 144,385,282 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL DIVINO SALVADOR DE SOPO," 142,753,505 "," 142,753,505 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA JUAN N CORPAS LTDA," 141,750,779 "," 141,750,779 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,GRUPO MENTESANA SAS," 138,668,522 "," 138,668,522 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,RTS SAS," 137,231,880 "," 137,231,880 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SOCIEDAD UROLOGOS DEL NORTE DE SANTANDER SA URONORTE SA," 133,835,228 "," 133,835,228 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO FERNANDO TROCONIS," 133,604,289 "," 133,604,289 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,MEDICAL DUARTE ZF SAS," 133,114,723 "," 133,114,723 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,UNION DE CIRUJANOS SAS," 131,509,343 "," 131,509,343 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOME HEALTH SALUD EN CASA SAS IPS," 131,270,779 "," 131,270,779 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,UNID DE DIAGNOSTICO POR IMAGEN DIAGNOSTICAR LTDA," 131,085,887 "," 131,085,887 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA DE MARLY S A," 129,374,957 "," 129,374,957 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ASISTENCIA MEDICA INMEDIATA AMEDI SAS," 129,163,585 "," 129,163,585 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL LA DIVINA MISERICORDIA," 128,920,385 "," 128,920,385 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL MANUELA BELTRAN," 127,818,068 "," 127,818,068 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CENTRO DE ENFERMEDADES DIGESTIVAS," 119,894,266 "," 119,894,266 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL SAN RAFAEL DE PASTO," 119,401,524 "," 119,401,524 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA OSPEDALE MANIZALES SA," 118,645,449 "," 118,645,449 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,DISTRIBUIDORA COLOMBIANA DE MEDICAMENTOS SAS," 115,967,154 "," 115,967,154 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA REINA ISABEL SAS," 115,471,621 "," 115,471,621 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SOCIEDAD MEDICA VIDA SA," 115,146,618 "," 115,146,618 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,NEURODINAMIA SA," 114,687,573 "," 114,687,573 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA DE ESPECIALISTAS DEL NORTE DEL TOLIMA SAS," 113,536,560 "," 113,536,560 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA OFTALMOLOGICA DE TULUA LIMITADA," 110,739,402 "," 110,739,402 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CAJA DE COMPENSACION FAMILIAR CAFAM," 107,391,376 "," 107,391,376 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE FUSAGASUGA," 103,954,581 "," 103,954,581 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA DE ESPECIALISTAS SA," 102,783,437 "," 102,783,437 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,ESE HOSPITAL REGIONAL SAN GIL," 101,452,352 "," 101,452,352 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HEMATOLOGIA Y ONCOLOGIA DEL ORIENTE SAS," 100,163,089 "," 100,163,089 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,FUNDACION CLINICA LETICIA," 99,342,982 "," 99,342,982 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA ASOTRAUMA SAS," 99,032,463 "," 99,032,463 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,NORDVITAL IPS SAS," 98,057,695 "," 98,057,695 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,UNIDAD MEDICO QUIRURGICA DE ORL SAS," 97,915,581 "," 97,915,581 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,UNIDAD PEDIATRICA SIMON BOLIVAR IPS SAS," 95,774,916 "," 95,774,916 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,HOSPITAL MARIA AUXILIADORA EMPRESA SOCIAL DEL ESTADO DEL MUNICIPIO DE MOSQUERA," 95,244,509 "," 95,244,509 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CEDIMED SAS," 95,188,793 "," 95,188,793 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,EMPRESA SOCIAL DEL ESTADO UNIVERSITARIA DEL ATLANTICO," 94,745,717 "," 94,745,717 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,MEDICINA NUCLEAR SA," 92,968,138 "," 92,968,138 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,UROCADIZ ESPECIALIDADES MEDICO QUIRURGICAS SAS," 92,526,580 "," 92,526,580 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,SES SALUD S A," 92,161,216 "," 92,161,216 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,CLINICA LA ASUNCION," 92,000,805 "," 92,000,805 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,FUNDACION SOCIAL SOMOS CONSTRUCTORES DE VIDA," 91,451,793 "," 91,451,793 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE PAMPLONA," 89,909,286 "," 89,909,286 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,INTERFISICA DEL CAUCALTDA," 88,936,082 "," 88,936,082 ",,2024-04-08,4/15/2024,I ABRIL
SANITAS E.P.S.,EMPRESA SOCIAL DEL ESTADO HOSPITAL DPTAL SAN ANTONIO," 87,469,967 "," 87,469,967 ",,2024-04-08,4/15/2024,I ABRIL
