Nombre EPS, Razón Social ,Valor Autorizado por EPS ($),Valor Giro a IPS ($),Fecha de giro,Observaciones
SANITAS,DISCOLMEDICA S. A. S," 486,425,298.00 "," 486,425,298.00 ",4/12/2024,
SANITAS,INSTITUTO ROOSEVELT," 481,562,105.00 "," 481,562,105.00 ",4/12/2024,
SANITAS,UNIDAD DE DIAGNOSTICO POR IMAGEN DIAGNOSTICAR S.A.S.," 474,338,533.00 "," 474,338,533.00 ",4/12/2024,
SANITAS,ESE HOSPITAL SAN JUAN DE DIOS DE PAMPLONA," 467,002,513.00 "," 467,002,513.00 ",4/12/2024,
SANITAS,INVERSIONES MEDICAS DE LOS ANDES S.A.S.," 457,227,631.00 "," 457,227,631.00 ",4/12/2024,
SANITAS,CLÍNICA IMBANACO S.A.S.," 449,583,442.00 "," 449,583,442.00 ",4/12/2024,
SANITAS,FORPRESALUD IPS SAS," 444,567,084.00 "," 444,567,084.00 ",4/12/2024,
SANITAS,HOSPITAL REGIONAL DE LA ORINOQUIA E.S.E.," 444,553,374.00 "," 444,553,374.00 ",4/12/2024,
SANITAS,ANGIOGRAFIA DE COLOMBIA S.A.S.," 422,084,742.00 "," 422,084,742.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL REGIONAL SAN GIL," 420,330,173.00 "," 420,330,173.00 ",4/12/2024,
SANITAS,MIRED BARRANQUILLA IPS S.A.S.," 415,741,765.00 "," 415,741,765.00 ",4/12/2024,
SANITAS,SOCIEDAD MEDICA VIDA S.A.S.," 414,844,915.00 "," 414,844,915.00 ",4/12/2024,
SANITAS,SOCIEDAD MEDICA CLINICA MAICAO S.A," 405,677,329.00 "," 405,677,329.00 ",4/12/2024,
SANITAS,MESSER COLOMBIA S.A.," 400,562,652.00 "," 400,562,652.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL DEPARTAMENTAL UNIVERSITARIO DEL QUINDIO SAN JUAN DE DIOS," 397,632,377.00 "," 397,632,377.00 ",4/12/2024,
SANITAS,ESE HOSPITAL SAN JOSE DE ISNOS," 391,922,628.00 "," 391,922,628.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE DUITAMA," 359,818,920.00 "," 359,818,920.00 ",4/12/2024,
SANITAS,HOSPITAL DEL SARARE ESE," 358,349,090.00 "," 358,349,090.00 ",4/12/2024,
SANITAS,CORPORACIÓN HOSPITALARIA JUAN CIUDAD," 358,140,770.00 "," 358,140,770.00 ",4/12/2024,
SANITAS,ASOCIACIÓN PROFAMILIA," 356,796,804.00 "," 356,796,804.00 ",4/12/2024,
SANITAS,ESE HOSPITAL LOCAL ISMAEL ROLDAN VALENCIA," 352,901,048.00 "," 352,901,048.00 ",4/12/2024,
SANITAS,CLINICA SOMEDA S.A.S," 347,608,306.00 "," 347,608,306.00 ",4/12/2024,
SANITAS,ONCOMEDICA S.A.S," 345,289,325.00 "," 345,289,325.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO SAN JORGE," 328,040,994.00 "," 328,040,994.00 ",4/12/2024,
SANITAS,INSTITUTO MÉDICO ONCOLÓGICO S.A.S.," 327,777,566.00 "," 327,777,566.00 ",4/12/2024,
SANITAS,HOSPITAL SAN RAFAEL DE PASTO," 326,366,849.00 "," 326,366,849.00 ",4/12/2024,
SANITAS,DIME CLINICA NEUROCARDIOVASCULAR S.A," 318,834,557.00 "," 318,834,557.00 ",4/12/2024,
SANITAS,HOSPITAL INFANTIL LOS ANGELES," 318,659,132.00 "," 318,659,132.00 ",4/12/2024,
SANITAS,HEMATOLOGIA Y ONCOLOGIA DEL ORIENTE SAS," 314,295,335.00 "," 314,295,335.00 ",4/12/2024,
SANITAS,CORPORACIÓN PARA LA SALUD INTEGRAL S.A.S. - CORPOSALUD S.A.S.," 314,290,548.00 "," 314,290,548.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE FLORIDABLANCA," 310,716,716.00 "," 310,716,716.00 ",4/12/2024,
SANITAS,INTEGRADOS EN SALUD IPS LTDA," 310,643,550.00 "," 310,643,550.00 ",4/12/2024,
SANITAS,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.," 309,582,684.00 "," 309,582,684.00 ",4/12/2024,
SANITAS,OFTALMOLASER - SOCIEDAD DE CIRUGIA DEL HUILA S.A," 309,369,817.00 "," 309,369,817.00 ",4/12/2024,
SANITAS,CLINICA LA ERMITA DE CARTAGENA S.A.S.," 303,983,460.00 "," 303,983,460.00 ",4/12/2024,
SANITAS,RED SALUD ARMENIA ESE UNIDAD INTERMEDIA DEL SUR," 295,646,518.00 "," 295,646,518.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO SALUD YOPAL," 282,847,833.00 "," 282,847,833.00 ",4/12/2024,
SANITAS,CAJA DE COMPENSACION FAMILIAR DE RISARALDA COMFAMILIAR RISARALDA," 277,082,829.00 "," 277,082,829.00 ",4/12/2024,
SANITAS,VITAL MEDICAL CARE VIMEC S.A.S," 276,006,774.00 "," 276,006,774.00 ",4/12/2024,
SANITAS,AUDIOCOM IPS," 271,212,809.00 "," 271,212,809.00 ",4/12/2024,
SANITAS,DAVITA S.A.S.," 271,061,864.00 "," 271,061,864.00 ",4/12/2024,
SANITAS,HOSPITAL PABLO TOBON URIBE," 270,095,204.00 "," 270,095,204.00 ",4/12/2024,
SANITAS,CLÍNICA UNIVERSIDAD DE LA SABANA," 268,252,744.00 "," 268,252,744.00 ",4/12/2024,
SANITAS,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL DEPARTAMENTAL SAN FRANCISCO DE ASÍS," 266,696,135.00 "," 266,696,135.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL SAN JUAN BAUTISTA," 266,352,637.00 "," 266,352,637.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE CHIQUINQUIRA," 263,658,515.00 "," 263,658,515.00 ",4/12/2024,
SANITAS,HOSPITAL DE ALTA COMPLEJIDAD DEL MAGDALENA CENTRO S.A.S," 263,010,727.00 "," 263,010,727.00 ",4/12/2024,
SANITAS,UNIDAD HEMATO ONCOLOGICA ESPECIALIZADA IPS SAS," 262,127,697.00 "," 262,127,697.00 ",4/12/2024,
SANITAS,CENTRO DE IMAGENES DIAGNOSTICAS CEDIM IPS SAS," 251,383,072.00 "," 251,383,072.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL PSIQUIÁTRICO SAN CAMILO," 249,513,335.00 "," 249,513,335.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO BARRANCABERMEJA," 249,284,288.00 "," 249,284,288.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DEL CARIBE," 244,794,556.00 "," 244,794,556.00 ",4/12/2024,
SANITAS,SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E," 243,405,075.00 "," 243,405,075.00 ",4/12/2024,
SANITAS,CLINICA CENTRAL DEL QUINDIO SAS," 240,733,329.00 "," 240,733,329.00 ",4/12/2024,
SANITAS,INSTITUTO NACIONAL DE CANCEROLOGIA," 236,909,667.00 "," 236,909,667.00 ",4/12/2024,
SANITAS,INVERSIONES LEAL Y OXIGENOS SAS," 228,062,822.00 "," 228,062,822.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO SALUD PEREIRA," 228,024,096.00 "," 228,024,096.00 ",4/12/2024,
SANITAS,CLINICA Y DROGUERIA NTRA SRA DE TORCOROMA S.A.S.," 223,571,790.00 "," 223,571,790.00 ",4/12/2024,
SANITAS,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL," 221,464,936.00 "," 221,464,936.00 ",4/12/2024,
SANITAS,GYO MEDICAL I.P.S. S.A.S.," 220,361,352.00 "," 220,361,352.00 ",4/12/2024,
SANITAS,SANTA HELENA DEL VALLE IPS," 220,348,483.00 "," 220,348,483.00 ",4/12/2024,
SANITAS,UNIDAD CARDIOQUIRURGICA DE NARIÑO SAS," 216,048,635.00 "," 216,048,635.00 ",4/12/2024,
SANITAS,FUNDACION HOSPITAL SAN PEDRO," 214,897,893.00 "," 214,897,893.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL REGIONAL SURORIENTAL-CHINACOTA," 213,043,039.00 "," 213,043,039.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL SAN RAFAEL DE CAQUEZA," 212,024,169.00 "," 212,024,169.00 ",4/12/2024,
SANITAS,ECOIMAGEN SALUD S.A.S.," 211,088,211.00 "," 211,088,211.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL SALAZAR VILLETA," 209,897,590.00 "," 209,897,590.00 ",4/12/2024,
SANITAS,"HOSPITAL SUSANA LOPEZ DE VALENCIA, EMPRESA SOCIAL DEL ESTADO"," 207,994,922.00 "," 207,994,922.00 ",4/12/2024,
SANITAS,NUEVA CLÍNICA EL BARZAL S.A.S," 207,176,870.00 "," 207,176,870.00 ",4/12/2024,
SANITAS,CLINICA CENTRAL O.H.L. LTDA," 205,514,458.00 "," 205,514,458.00 ",4/12/2024,
SANITAS,CLINICA SANTA ANA S.A.," 205,083,535.00 "," 205,083,535.00 ",4/12/2024,
SANITAS,HOSPITAL UNIVERSITARIO SAN JOSE DE POPAYAN E.S.E.," 204,934,247.00 "," 204,934,247.00 ",4/12/2024,
SANITAS,HOSPITAL SAN JUAN DE DIOS HONDA EMPRESA SOCIAL DEL ESTADO," 202,270,069.00 "," 202,270,069.00 ",4/12/2024,
SANITAS,HOSPITAL REGIONAL DE SOGAMOSO EMPRESA SOCIAL DEL ESTADO," 200,546,111.00 "," 200,546,111.00 ",4/12/2024,
SANITAS,CLINICA DE OCCIDENTE," 200,478,209.00 "," 200,478,209.00 ",4/12/2024,
SANITAS,RAYOS X E IMAGENES DIAGNOSTICAS RADIOSALUD S.A.S," 198,669,358.00 "," 198,669,358.00 ",4/12/2024,
SANITAS,IPS CLINICAL HOUSE S.A.S.," 198,546,639.00 "," 198,546,639.00 ",4/12/2024,
SANITAS,AUVIMER SALUD INTEGRAL EN CASA SAS," 198,242,738.00 "," 198,242,738.00 ",4/12/2024,
SANITAS,ESE HOSPITAL MUNICIPAL SAN ANTONIO DE EL AGRADO," 198,172,952.00 "," 198,172,952.00 ",4/12/2024,
SANITAS,FUNDACION CTIC - CENTRO DE TRATAMIENTO E INVESTIGACION SOBRE CANCER LUIS CARLOS SARMIENTO ANGULO," 196,451,043.00 "," 196,451,043.00 ",4/12/2024,
SANITAS,SALUD RENAL S.A.," 195,773,998.00 "," 195,773,998.00 ",4/12/2024,
SANITAS,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ," 195,479,078.00 "," 195,479,078.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO JULIO MENDEZ BARRENECHE," 193,027,952.00 "," 193,027,952.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO MERCEDES TELLEZ DE PRADILLA (E.S.E.) HOSPITAL VIANI PRIMER NIVEL DE ATENCION," 190,022,448.00 "," 190,022,448.00 ",4/12/2024,
SANITAS,CENTRO NEUPSIQUIATRICO EL DIVINO NINO," 189,762,380.00 "," 189,762,380.00 ",4/12/2024,
SANITAS,FUNDACION OFTALMOLOGICA DEL CARIBE," 188,953,966.00 "," 188,953,966.00 ",4/12/2024,
SANITAS,CORPORACION CLINICA PRIMAVERA," 188,668,832.00 "," 188,668,832.00 ",4/12/2024,
SANITAS,"CIA DE NEUROLOGOS.NEUROCIRUJANOS Y ESPECIALIDADES AFINES, SOCIEDAD ACCIONES SIMPLIF CONEURO S.A.S."," 187,175,594.00 "," 187,175,594.00 ",4/12/2024,
SANITAS,CLINICA MEDICAL SAS," 186,698,559.00 "," 186,698,559.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DE LAS MERCEDES DE SALADOBLANCO," 184,565,045.00 "," 184,565,045.00 ",4/12/2024,
SANITAS,CLINICA DE ESPECIALISTAS LTDA.," 182,332,256.00 "," 182,332,256.00 ",4/12/2024,
SANITAS,EMMANUEL INSTITUTO DE REHABILITACION Y HABILITACION INFANTIL S.AS," 179,473,427.00 "," 179,473,427.00 ",4/12/2024,
SANITAS,VIDAMEDICAL BOGOTA IPS SAS," 178,282,436.00 "," 178,282,436.00 ",4/12/2024,
SANITAS,CLINICA PSIQUIATRICA SAN JUAN DE DIOS," 177,778,800.00 "," 177,778,800.00 ",4/12/2024,
SANITAS,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE E.S.E," 174,856,618.00 "," 174,856,618.00 ",4/12/2024,
SANITAS,IPS SALUD INTEGRAL Y MEDICINA LABORAL SAS," 172,728,931.00 "," 172,728,931.00 ",4/12/2024,
SANITAS,CENTRO CARDIOVASCULAR SOMER INCARE S A," 172,665,753.00 "," 172,665,753.00 ",4/12/2024,
SANITAS,DUMIAN MÉDICAL S.A.S," 172,464,049.00 "," 172,464,049.00 ",4/12/2024,
SANITAS,INSTITUTO HUILENSE DE CIRUGIA GASTROINTESTINAL Y ENDOSCOPIA DIGESTIVA SAS - INCIDE SAS," 172,420,467.00 "," 172,420,467.00 ",4/12/2024,
SANITAS,HOSPICLINIC DE COLOMBIA S.A.S.," 172,185,322.00 "," 172,185,322.00 ",4/12/2024,
SANITAS,ESE HOSPITAL SAN JOSE," 170,214,666.00 "," 170,214,666.00 ",4/12/2024,
SANITAS,FUNDACION NEFROUROS," 166,485,138.00 "," 166,485,138.00 ",4/12/2024,
SANITAS,FONOCENTER SAS," 164,384,167.00 "," 164,384,167.00 ",4/12/2024,
SANITAS,CENTRO DE CONTROL DE CÁNCER SAS," 162,781,011.00 "," 162,781,011.00 ",4/12/2024,
SANITAS,IPS SAN MIGUEL SAS," 162,666,247.00 "," 162,666,247.00 ",4/12/2024,
SANITAS,RED SALUD INTEGRAL IPS S.A.S.," 162,068,939.00 "," 162,068,939.00 ",4/12/2024,
SANITAS,AIR LIQUIDE COLOMBIA SAS," 161,956,017.00 "," 161,956,017.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL SAN RAFAEL DE FUSAGASUGA," 161,087,536.00 "," 161,087,536.00 ",4/12/2024,
SANITAS,CENTRO DE DIAGNOSTICO Y CIRUGIA OCULAR CEDCO S.A.S," 158,831,317.00 "," 158,831,317.00 ",4/12/2024,
SANITAS,FISIOTER S S.A.S," 156,444,593.00 "," 156,444,593.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL DEL ROSARIO DE CAMPOALEGRE," 156,217,526.00 "," 156,217,526.00 ",4/12/2024,
SANITAS,CLINICA NUESTRA SEÑORA DE LA PAZ," 155,598,693.00 "," 155,598,693.00 ",4/12/2024,
SANITAS,SOCIEDAD UNIDAD INTEGRAL DE SALUD MENTAL SION SAS," 155,553,065.00 "," 155,553,065.00 ",4/12/2024,
SANITAS,E.S.E HOSPITAL DEPARTAMENTAL TOMAS URIBE URIBE DE TULUA EMPRESA SOCIAL DEL ESTADO," 155,073,863.00 "," 155,073,863.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS," 154,995,075.00 "," 154,995,075.00 ",4/12/2024,
SANITAS,CLINICA DEL OCCIDENTE S.A.," 152,579,974.00 "," 152,579,974.00 ",4/12/2024,
SANITAS,RAYOS X DEL HUILA S.A.S," 150,512,266.00 "," 150,512,266.00 ",4/12/2024,
SANITAS,NEUROMEDICA SAS," 148,304,045.00 "," 148,304,045.00 ",4/12/2024,
SANITAS,FUNDACION CLINICA INFANTIL CLUB NOEL," 147,979,794.00 "," 147,979,794.00 ",4/12/2024,
SANITAS,CLINICA SAN FRANCISCO S.A," 147,677,749.00 "," 147,677,749.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SANTA LUCIA," 146,838,770.00 "," 146,838,770.00 ",4/12/2024,
SANITAS,E.S.E. HOSPITAL ARSENIO REPIZO VANEGAS DE SAN AGUSTIN," 145,626,634.00 "," 145,626,634.00 ",4/12/2024,
SANITAS,"ASOCIACIÓN MEDELLIN DE LUCHA CONTRA EL CANCER """"MEDICANCER"""""""," 143,953,051.00 "," 143,953,051.00 ",4/12/2024,
SANITAS,ARTMEDICA S.A.S," 143,231,510.00 "," 143,231,510.00 ",4/12/2024,
SANITAS,CLINICA LA SAGRADA FAMILIA SAS," 143,029,015.00 "," 143,029,015.00 ",4/12/2024,
SANITAS,FUNDACION SANTA FE DE BOGOTA," 142,784,244.00 "," 142,784,244.00 ",4/12/2024,
SANITAS,CHRISTUS SINERGIA SALUD S.A," 141,035,955.00 "," 141,035,955.00 ",4/12/2024,
SANITAS,CLINICA OFTALMOLOGICA PEÑARANDA S.A.S," 139,639,891.00 "," 139,639,891.00 ",4/12/2024,
SANITAS,CLINICA REGIONAL DEL SAN JORGE AGENCIA YOPAL," 138,226,751.00 "," 138,226,751.00 ",4/12/2024,
SANITAS,IMAGEN RADIOLOGICA DIAGNOSTICA S.A.S," 137,680,583.00 "," 137,680,583.00 ",4/12/2024,
SANITAS,BIOSAMAR UNIDAD MEDICA ESPECIALIZADA IPS SAS," 137,565,887.00 "," 137,565,887.00 ",4/12/2024,
SANITAS,CLÍNICA ESPECIALIZADA LA CONCEPCIÓN S.A.S," 136,731,898.00 "," 136,731,898.00 ",4/12/2024,
SANITAS,SALUD MENTAL DE ARAUCA IPS SAS," 135,382,504.00 "," 135,382,504.00 ",4/12/2024,
SANITAS,UROCAQ E.U. IPS," 134,919,277.00 "," 134,919,277.00 ",4/12/2024,
SANITAS,ESE HOSPITAL LORENCITA VILLEGAS DE SANTOS," 134,834,906.00 "," 134,834,906.00 ",4/12/2024,
SANITAS,ESE HOSPITAL MANUEL URIBE ANGEL," 134,758,719.00 "," 134,758,719.00 ",4/12/2024,
SANITAS,FLOTA LA MACARENA S.A.," 134,675,127.00 "," 134,675,127.00 ",4/12/2024,
SANITAS,ESE CENTRO DE SALUD MIGUEL BARRETO LOPEZ DE TELLO," 134,544,499.00 "," 134,544,499.00 ",4/12/2024,
SANITAS,ESE HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS," 133,567,391.00 "," 133,567,391.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FELIX LA DORADA CALDAS," 132,409,605.00 "," 132,409,605.00 ",4/12/2024,
SANITAS,INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS," 132,190,052.00 "," 132,190,052.00 ",4/12/2024,
SANITAS,HOSPITAL FRANCISCO DE PAULA SANTANDER E.S.E. NIVEL II," 131,591,101.00 "," 131,591,101.00 ",4/12/2024,
SANITAS,AUDIFARMA S.A.," 131,422,772.00 "," 131,422,772.00 ",4/12/2024,
SANITAS,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL," 130,444,103.00 "," 130,444,103.00 ",4/12/2024,
SANITAS,DROGUERIA MAGRETH S.A.S.," 129,537,760.00 "," 129,537,760.00 ",4/12/2024,
SANITAS,CLINICA DE URGENCIAS BUCARAMANGA S.A.S," 128,775,053.00 "," 128,775,053.00 ",4/12/2024,
SANITAS,HERMANAS HOSPITALARIAS DEL SAGRADO CORAZÓN DE JESÚS," 128,473,716.00 "," 128,473,716.00 ",4/12/2024,
